text,complexity,taboo_word_0,taboo_word_1,taboo_word_2,taboo_word_3,taboo_word_4,taboo_word_5,taboo_word_6,taboo_word_7,taboo_word_8,taboo_word_9
مداد ,1,نوشتن,کاغذ,رنگ,طول,حرفه,آموزش,مدارس,دست,کتاب,خودکار
خودکار,1,نوشتن,مداد,کتاب,دفتری,جوهر,پنسل,پارچه,قلم,خودنویس,ابزار
ماژیک,1,نقاشی,رنگ,نوشتن,خودکار,مواد اولیه,هنر,کلاس,ماندگار,کتاب,زیرانداز
چمدان,1,سفر,بار,حمل,محل,کیف,لوازم,مسافرت,بازار,جمع کردن,سازماندهی
سی دی,1,داده,رسانه,نصب,توزیع,موسیقی,بازی,ذخیره,ضبط,فایل,تکثیر
قمقمه,1,آب,نوشیدنی,سفر,دستگاه,گالن,حمل,پلاستیکی,ریز,غذا,ورزش
دی وی دی,2,پخش,فيلم,ذخيره,مديا,سی دی,جدول محتوا,گنجینه,تصوير,بسته,دیسک
عروسک,1,بازی,کودک,نوازش,پلاستیکی,شکل,مدل,دوست,دست,خواب,فانتزی
مجسمه,1,هنر,بت,ساختمان,تندیس,مجسمه‌سازی,سازنده,نما,مواد,پیکره,زینتی
ماشین حساب,1,عدد,محاسبه,جمع,تفریق,ضرب,تقسیم,الگوریتم,عملیات,فرمول,تعداد
شوفاژ,1,گرما,سیستم,پکیج,تأسیسات,سرمایش,سوخت,هوا,انرژی,رادیاتور,منزل
بخاری,1,گرما,سوزاندن,الکتریکی,وسایل,خانه,تجهیزات,کف,دود,تابستان,محل
شومینه,1,حرارت,آتش,گرما,فضای نشیمن,چراغ,هیزم,دود,خاموش کردن,سوزاندن,زمستان
آچار فرانسه,2,ابزار,گارانتی,پیچ,مکانیک,پارچه,تعمیرات,دستگاه,فنی,کارگاه,وسایل
پیچ گوشتی,1,ابزار,پیچ,کار,دستگاه,سفت کردن,حفره,سوراخ,گیره,فنی,تعمیر
دسته کلید,2,کلید,قفل,زنجیر,وسایل,جیب,پول,غیرت,دست,شخصی,محل
کیف,1,حمل,پول,چمدان,وسایل,مدرسه,کوچک,زنانه,مردانه,محل,خرید
لیوان,1,شیشه,نوشیدنی,مایع,دستگیره,سرو,سفید,کف,چای,آبی,بشقاب
فلش,1,ذخیره,نقل‌وانتقال,داده‌ها,مغناطیسی,سیلیکون,انتقال,پورت,USB,کامپیوتر,حافظه
چکش,1,ابزار,ضربه,نابود کردن,مقاومت,کارگاه,ساختمان,پایه,فلز,سخت,تمیدان
سماور,1,چای,دم کردن,فلز,آتش,خودکار,نوشیدنی,قوری,مرتب,استقبال,مجلس
قوری,1,چای,نوشیدنی,دم کردن,این وسیله,فلز,گرما,سرو,صافی,پرس کردن,سرپوش
کتری,1,آب,دم کردن,چای,گرما,فنجان,مایع,نوشیدنی,پختن,ظرف,صوت
ساعت دیواری,2,زمان,دستگاه,تاریخ,ثانیه,تنظیم,عدد,نشانگر,ایستاده,صدای تیک,زنگ
تِی,2,کتاب,زبان,آموزش,نوشتن,درس,مداد,دست,تخته,ساعت,دانشجو
جارو,1,تمیز,زمین,دست,بافت,پلاستیک,جمع‌آوری,مربوط به خانه,ساز,رنگ,وسیله
قابلمه,1,آشپزی,غذا,پختن,حرارت,بخوراکی,ظرف,سوپ,قاشق,بخار,گاز
ماهی تابه,1,آشپزی,غذا,سرخ کردن,دستگاه,وسایل آشپزخانه,حرارت,مواد اولیه,پخت و پز,غذای خوشمزه,ظرف
پیرکس,2,شیشه,نسوز,بشقاب,ظرف,سرامیک,آزمایشگاه,حرارت,شفاف,مقاوم,نرم
ملامین,2,محصول صنعتی,کود شیمیایی,سمیت,پلاستیک,رنگ سفید,شیمی,پلیمریزاسیون,تولید,الزامات استاندارد,سختی
پارچ آب,2,نوشیدنی,ظرف,آب,خنک,شیشه,مایع,سرو,کاربرد,پلاستیکی,خانه
آجیل خوری,2,دسته,خوراکی,ظرف,میز,مهمانی,تزیینی,مغز,جشن,دسر,سنبل
زیر بشقابی,2,پرده,دکوری,محافظ,تزیینی,میز,غذا,زینتی,مخملی,نگه‌دارنده,رنگارنگ
تخته گوشت,2,آشپزی,برش,غذا,چاقو,مطبخ,ساطوری,میز,کارد,خوردن,مواد اولیه
نمکدان,1,چاشنی,خوراکی,محفظه,پنجره,سرو,داشته,غذا,ادویه,سفره,شیشه
قاشق,1,چنگال,کفگیر,آشپزی,غذا,سرو,خوردن,سفره,لوازم,میز,خوراکی
چنگال,1,قاشق,غذا,سرو,دست,نقره,ظرف,میز,بخور,ملاقه,پخت
چاقو,1,برش,آشپزخانه,سلاح,تیز,خطرناک,جراحی,دست,کارودستی,سر,چوبی
درب باز کن,2,کلید,درب,قفل,ورودی,عبور,باز کردن,مکان,دستگیره,بسته,نفوذ
قالب شیرینی پزی,3,تنوره,شیرینی,پختن,مخلوط,تخم مرغ,خمیر,دسر,شکل,قالب گیری,آشپزی
رنده,1,آشپزی,تجزیه,خرد کردن,پنیر,سبزی,دستگاه,میوه,برش,پرچم,صوتی
پوست گیر,2,تقویت کننده,میوه,دستگاه,مساج,آشپزی,غذا,محصول,جدا کردن,تزیین,رنگ
ترازو,1,وزن,اندازه,مقیاس,تعادل,وزنه,سنجه,سنگین,سبک,محاسبه,دقیق
آبکش,1,نصفه,پلو,گرفتن,شستن,خوراک,آشپزخانه,تزئین,ابزار,سرو,گلابی
سینی,1,ظرف,پخت,غذا,پلاس,کیک,آشپزخانه,سرو,میز,رستوران,چندگانه
پیش دستی,2,ظرف,غذا,میز,غذای آماده,مهمانی,چنگال,کارد,سرو,قاشق,سرویس غذاخوری
زیر سیگاری,2,سیگار,خاکستر,دود,جای,سراسر,میز,محل,چیزی,استفاده,عادت
همزن دستی,2,برقی,پخت,خوراک,مخلوط کردن,دست,کاسه,شیرینی,تند,آشپزخانه,مواد اولیه
همزن برقی,2,آشپزی,کیک,مخلوط کردن,دستگاه,شیرینی,سرعت,قاشق,کاسه,خمیر,برق
کباب پز,2,کباب,آتش,پختن,ذغال,غذا,گریل,خوراک,سفره,لذت,رستوران
منقل,1,آتش,کباب,بیرون,پختن,ظرف,جمع شدن,همچشم,مهمانی,دود,خوراکی
آبپاش,1,گل,نباتی,مرطوب,خاک,سپهری,فشار,گلدان,طبیعت,چمن,ابزار
بند رخت,2,لباس,خشک کردن,رخت,حیاط,نخ,قلاب,دسته,عصر,آفتاب,فضا
گاز,1,سوخت,آشپزخانه,پخت,محصول,طبیعی,خطرناک,انرژی,منبع,لوله,احتمال
قندشکن,1,شکر,مکالمه,خوردنی,دندانی,حس تلخی,تعمیر,شکننده,بیماری,فک,گاز
سبد,1,ظرف,خرید,پیمانه,میوه,دارایی,نقاشی,پلاستیک,قندیل,واریز,زوایای
کلمن,2,آب,نوشیدنی,ظرف,خنک,جمع کردن,مسافرت,شیشه,خرید,مهمانی,دعا
سفره ,1,غذا,میز,پخت,خانم,شام,نظافت,پیش‌غذا,زینت,چیدمان,مهمانی
قندان,1,شیرینی,شکلات,مزه,دیس,خوراکی,تنقلات,میز,مهمانی,بسته,دیوار
فندک,1,آتش,سیگار,سالامان,جعبه,گاز,روشن کردن,بزرگتر,موسی,بسته بندی,شعله
پیش بند,2,پخت و پز,آشپزی,لوازم,غذا,شستشو,لباس,پوشیدن,مقابل,دست,محافظت
کیسه فریزر,2,پلاستیکی,نگهداری,غذا,فریز,محافظت,کیفیت,غلاف,ضد آب,سرویس,خنک
کیسه زباله,2,پسماند,جمع‌آوری,پلاستیکی,زباله,ایستگاه,محیط زیست,پاکسازی,سطل,تفکیک,بسته
کبریت,1,آتش,سوزاندن,حرارت,چوب,جرقه,مبلمان,شعله,کتاب,مفید,چشمک
اسپند دود کن,2,عطر,موادی,سوزاندن,کنترل,دود,مطبخ,پیشگیری,شعله,مناسبت,خوشبو
سیخ کباب,2,گوشت,آتش,غذا,چوب,خوردن,خوراکی,شعله,مجموعه,رستوران,سیخ
چای صاف کن,3,آب,نوشیدنی,فنجان,دم‌کردن,مخلوط,غربال,بنا,کاربرد,طعمی,شیوه
وردنه,2,آرد,خمیر,پخت,نان,غذا,مخلوط,دستگاه,شیرینی,خودکار,پز
کشو,1,درازی,کشیدن,سونا,مخفی,جعبه,مبلمان,جای,وسایل,جمع کردن,نگهداری
دم کنی,1,چای,غرغره,غلا داغ,نوشیدنی,تهیه,سرما,طعم,مزه,قوری,مواد
جا نونی,2,غذا,نان,رستوران,سفره,خوراک,بوفه,صبحانه,غذافروشی,مواد غذایی,اقامت
قیف,1,ظرف,پاشیدن,شیکر,منحنی,مایع,تزیین,غذا,خودکار,دستگاه,فنجان
گردو شکن,2,آشپزی,مغز,پراتی,شلغم,رازیانه,کاکا,تجهیزات,ظروف,غذای خوشمزه,پخت و پز
چهار پایه,2,میز,صندلی,پایه,چوبی,تکیه,درباره,وسایل,استراحت,نشیمن,ارتفاع
آبمیوه گیری,2,میوه,آب,مخلوط کن,سرکه,آشپزخانه,رنگین,نوشیدنی,سرعت,پوره,خنک
توری کباب پز,3,میز کباب,شبکه,گریل,خوردن,باربیکیو,پختن,شعله,گوشت,سوزاندن,چاشنی
فنجان,1,چای,قهوه,نوشیدنی,ظرف,حجم,سرو,دستگیره,مقوی,خوردن,دما
ساتور,1,چاقو,برش,آشپزی,ضربه,کشف,ابزار,غذا,نگهداری,خطرناک,مطبخ
ماکروویو,1,پخت,غذا,حرارت,سریع,برق,کامل,دسته,چرخش,گرم کردن,وسایل آشپزخانه
سفره پاک کن,2,میز,تمیز,غذا,دستمال,خانم خانه دار,سرویس,جدول,قاشق,چنگال,تمیزکاری
چاقو تیزکن,3,ابزار,تیز,چاقو,پخت و پز,سرعت,کارد,آشپزخانه,حاشیه,برش,دستگاه
تشک,1,خواب,اردک,نرم,محل استراحت,خوابگاه,بستر,راحت,فرش,ملافه,پشت
میز آرایش,2,آرایش,زیبایی,پودر,ریمل,آینه,محصولات,مو,خط چشم,سشوار,لوازم
مبل استیل,2,میز,نشستن,تزئینی,چوبی,تالار,دکوری,کلاسیک,راحت,خانواده,مجلل
میز عسلی,2,مبل,غذا,اتاق,چای,رفتن,جلوی,کتاب,پایه,جمع کردن,دکوری
میز کامپیوتر,2,لپ تاپ,صفحه نمایش,کیبورد,ماوس,پروژه,نرم افزار,اینترنت,کار,برق,فضای کاری
میز مطالعه,2,کتاب,تحصیل,دستگاه,نوشتن,تدریس,کلاس,نویسنده,تحقیق,مداد,تحصیل‌کرده
جاکلیدی,2,قفل,کلید,بشقاب,پلاک,چیزی که به دیوار می‌زنیم,جای کلید,آویز,جعبه,رنگی,تزیینی
جاکفشی,2,کفش,ورودی,نگهدارنده,سازماندهی,فضا,خانه,حمل و نقل,وسایل,جای,استفاده
میز تلفن,2,وسیله,اتاق,تلفن,الکتریکی,صحبت کردن,ارتباط,مشغول,غذاخوری,پلاستیکی,مبلمان
پشتی,2,صندلی,تکیهگاه,راحتی,نشستن,فرش,مبل,اتاق نشیمن,چرم,سرویس,پشتیبانی
رخت خواب,2,تشک,پوشش,خوابیدن,ملافه,بالش,نرمی,هاشور,درب اتاق,استراحت,ملحفه
آینه و شمعدان,2,دکور,نور,زینتی,شکستن,بازی نور,بازتاب,سفره,مراسم,گلدان,زیبا
گلیم,2,فرش,زیرانداز,دستباف,رنگارنگ,محل خواب,بافتنی,ایران,دکوراسیون,هنر,کفن
دراور,2,کابینت,چوبی,دستگاه,لباس,مبلمان,کشو,نگهداری,خانه,وسیله,اتاق خواب
کمد لباس,2,جنس,کمد,لباس,نگهداری,مبلمان,اتاق خواب,سازماندهی,بخش,فضا,بسته بندی
چرخ خیاطی,1,دوخت,پارچه,سوزن,ماشین,سرسره,رشته,فوت,کارگاه,بافت,اندازه‌گیری
جعبه ابزار,2,ابزار,ساختن,مهارت,کارگاه,تعمیر,متخصص,پروژه,کمک,نجاری,دستکش
دریل,2,ابزار,کارگاه,چرخش,سوراخ,مته,صدای بلند,برق,تعمیرات,ساختمان,دستگاه
متر,1,اندازه,واحد,شعاع,میله,طول,دقت,سنجش,وزن,فاصله,مقیاس
اره آهن بر,3,برش,نجاری,کاردستی,پانل,سمباده,ساخت,دنده,تیغ,کارخانه,چوب
میخ,1,چکش,نقطه,سوزن,کوه,چوب,کارگاه,فلز,دستگاه,بنا,تخته
پیچ  ,1,چرخش,دور,لوله,دوستانه,زیر,دستی,سر,سمت,کنار,تنظیم
واشر,2,چرخ دنده,لوازم یدکی,نشت,فشار,گاز,خودرو,پیچ,نرم,آب بندی,سیلندر
رولپلاک,3,پیچ,مهره,سازه,دیواره,گچ,نصب,ثابت,چوب,تعمیر,پایه
کاغذ سنباده,3,سمباده,سطح,تراشیدن,زبر,صاف کردن,چوب,تراش,صنعتی,ابزار,مخرب
چسب آکواریوم,2,چسب,آب,شفاف,ماهی,ظرف,تزیین,گلدان,مخزن,قوی,عملکرد
چسب دوقلو,2,چسب,چسباندن,چسبندگی,کاردستی,ماده,دوگانه,چسبی,ترکیب,چسبناک,پلاستیک
روغن دان,2,ظرف,پخت و پز,مایع,سد,چربی,زیتون,سرخ کردن,تابه,آشپزی,غذا
آچار لوله گیر,3,ابزار,پیدا کردن,باز کردن,هیدرولیک,پیچ,دسته,شکل,نصب,مکانیکی,پلاستیکی
سیم چین,2,ابزار,برش,کابل,تعمیر,مکانیک,حرفه‌ای,صدای برش,جسم سخت,دست,کارگاه
چراغ قوه,1,نور,تاریکی,جلوه,ابزار,دستگاه,ذخیره,برق,کوچک,حرکت,نورانی
قفل ,1,کلید,در,بسته,قفل کردن,امنیت,باز,محافظت,دستگیره,توصیف,فلز
دم باریک,2,پستانک,حرکت,پرنده,کوتاه,آب,لبه,بند,پولک,بیخ,نوزاد
تیغ موکت بری,3,ابزار,برش,موکت,تیغ,کارد,کارگاه,ساختمان,دستمزد,تعمیر,کاردستی
باتری قلمی,2,منبع انرژی,الکتریکی,دستگاه,قلمی,شارژ,آیفون,باتری بزرگ,دوربین,لوازم خانگی,خودرو
سه راهی برق,3,برق,پریز,کابل,گوشی,لوازم الکترونیکی,توزیع,منبع انرژی,اتصالات,پلاگ,تحویل
لامپ کم مصرف,2,نور,برق,صرفه‌جویی,الکتریکی,تکنولوژی,چراغ,گرمادهی,مدت‌زمان,محیط زیست,کارآمد
لحاف,1,پوشش,خواب,شب,گرما,بافت,پارچه,راحتی,زیرانداز,بالش,تخت
ملحفه,1,تخت,بستر,پوشش,نرم,خواب,پارچه,کوتاه,سفید,لایه,عطر
حوله حمام,1,خشک کردن,شستشو,آب,حمام,نرم,لباس,کف,استحمام,پوشیدن,ملافه
حوله دستشویی,1,دست,شستشو,محل,بخاری,نم,نظافت,پارچه,استفاده,حمام,خیس
پادری,2,فرش,کف,پای,ورودی,تمیز,پوشش,نرمی,راحتی,تزیین,دفتر
آینه  ,1,بازتاب,شکل,نور,پنجره,تصویر,ذاتی,نقاشی,سرگرمی,شیء,پر کردن
خاک انداز,2,پاکسازی,زباله,اجسامی,فضله,ریز,مقوایی,نمکین,شعله,دیوار,محیط
آفتابه,1,دوش,شستشو,صلوات,آب,حمام,ظرف,توالت,پاکیزگی, hygiene,پاشیدن
چوب لباسی,2,لباس,آویز,کمد,اتاق,درازی,پوشیدن,محل,دوخته,سیاه,مد
مسواک,1,دندان,نحوه تمیز کردن,پوسیدگی,بهداشت دهان,خمیردندان,پلاک,زردی,سلامتی,روزانه,خواب
مگس کش,1,حشره,پشه,دستگاه,کشتن,سم,اتاق,بیرون,زندگی,مشکلات,غذا
بوگیر,2,عطر,پخش کننده,بوی خوش,خوشبو,نگهداری,محیط,بدبو,اسپری,شوینده,ساماندهی
سنگ پا,2,پایین,کف پا,خاکی,لایه,پد نرم,کفش,حمام,شستشو,تراشیدن,پوست
اسکاچ,1,سخت,شستشو,تمیز,ظروف,مخلوط,فوم,چیزهای چسبناک,دستکش,مراقبت,آشپزخانه
سیم ظرفشویی,2,شستشو,ظرف,آشپزخانه,تولید,فلز,پاکسازی,رنگ,خوراکی,براق,استفاده
تشت,1,حمام,آب,شستن,ظرف,مینای,پلاستیکی,حمل,کثیف,رخت,تازه
جارو دستی,2,نظافت,زیر,غبار,موقعیت,کثیفی,سیاه,تمیز,وسایل,خانه,پر از
رو فرشی,2,فرش,مبل,پوشش,حتما,تمیز,تزئین,زیرپا,کف,محل نشستن,رنگ
شیشه پاک کن,2,تمیز کردن,زجاج,سیستم نظافت,نوار پاک,محلول,دستمال,سطوح,شستشو,غیر شفاف,پوشش
لوازم تحریر,2,کاغذ,قلم,کتاب,مداد,محصولات,نوشتن,تحصیل,دفتر,رنگی,ادبیات
کاغذ A4,1,برگه,اندازه,کتاب,پرینتر,نوشتن,مداد,طول,عرض,صفحه,اسناد
منگنه,1,کاغذ,متصل کردن,دفتری,ابزار,محکم,سند,سری,گیره,چسباندن,نوشتن
مدادتراش,1,نوک,تحریری,کلاس,کاغذ,مداد,نقاشی,خط,کاربردی,تحصیل,زیبایی
خط کش,1,اندازه‌گیری,متر,خطوط,مقدار,مداد,طول,کشیدن,دوخت,سازماندهی,نوشتن
پونز,2,تسنن,سوزن,کاغذ,چسباندن,نوشتن,الکترونیک,مداد,نگهداری,محل کار,سمبل
کاغذ یادداشت,2,نوشتن,اطلاعات,پیام,فکر,مداد,دفتری,دست نوشته,یادگیری,سازماندهی,فهرست
دفترچه تلفن,3,شماره,تماس,نام,مخاطب,اطلاعات,صفحه,مدارک,فهرست,متن,جمع‌آوری
شابلون,2,قالب,نقشه,طراحی,دستگاه,نقاشی,مقاوم,الگو,چیدمان,مستطیل,گرافیکی
توپ فوتبال,2,ورزش,گیم,زمین,دروازه,گل,بازیکن,تیم,پاس,کفش,مسابقه
توپ والیبال,2,ورزش,سرویس,نتیجه,تیم,زمین,پرتاب,ضربه,مسابقه,نتایج,آموزش
پاکت نامه,2,دسته,کاغذ,ارسال,پست,نامه,آدرس,بسته,تحویل,زیرساز,مخاطب
نقشه شهر,2,جهت یابی,نقشه,محل,خیابان,سفر,نقاط,طرح,مسیر,شهر,موقعیت
زیرانداز,2,پتو,تشک,کف,نوشیدن,خواب,پوشیدنی,سفر,محل نشستن,شستشو,مسافرت
چادر مسافرتی,2,کمپینگ,فضای باز,پناهگاه,سرپناه,سفر,نصب,سبک,گردشگری,دورباد,پارچه
گاز پیک نیک,2,سوخت,آتش,غذا,همایش,دستگاه,پخت,سفر,محیط باز,جشن,لوازم
جعبه لوازم خیاطی,3,چرخ خیاطی,نخ,سوزن,پارچه,قیمت,بافت,دستگاه,دوخت,ابزار,کاردستی
چتر,1,باران,پوشش,محافظت,دستگاه,سایه,مسافرت,دریافت,کلاه,لوازم,جلوگیری
تابلو فرش,2,فرش,نقش,دستباف,زیبا,هنر,قیمت,ایرانی,دکوراسیون,سنتی,خودرو
میز اتو,2,لباس,جنس,حرارت,صاف,کشیدن,کارخانه,چروک,پارچه,سوزن,دسته
پاشنه کش,1,کفش,فوت,پاشنه,دست,تکیه,ابزار,کمک,صندل,پایه,تجهیزات
آبنما,2,آب,چشمه,سرویس,صوت,وب,پارک,زیبا,فشار,نصب,طبیعت
دمپایی,1,پاپوش,کفش,راحت,پای,پلاس,استخر,خوابگاه,ساحل,بیرون,مد
ادکلن,1,عطر,رایحه,بوی خوش,محصول آرایشی,شیشه,استفاده روزانه,زنانه,مردانه,گل,شعف
یخچال,1,سرما,غذا,سرد,مواد,محفظه,نگهداری,فریز,داخل,برقی,شبکه
ماشین لباسشویی,2,تمیز کردن,برق,آب,پودر لباسشویی,دستگاه,مخزن,چرخش,سوزن,کثیفی,سروصدا
ماشین ظرفشویی,2,ظرف,شستشو,برق,خانه,دستگاه,کثیف,آشپزخانه,شستن,آب,منزل
چراغ مطالعه,1,نور,کتاب,شب,تحصیل,پایه,روشنی,زندگی,کار,اجاق,نوشتن
وب,2,اینترنت,سایت,پورتال,صفحه,پیوند,فناوری,مشاهده,محتوا,ارتباطات,داده
مرورگر,2,اینترنت,صفحه,وب,جستجو,برنامه,دسترسی,اطلاعات,لینک,کاربر,تجربه
موبایل,2,تلفن,دیجیتال,صفحه لمسی,پیامک,بلوتوث,اپلیکیشن,پرتابل,ارتباط,دوربین,شارژ
تلگرام,1,پیام رسان,چت,گروه,مکالمه,فایل,دوست,کد تایید,نسخه وب,گفتگو,رسانه
اینستاگرام,2,شبکه اجتماعی,عکس,فالوور,پست,استوری,هشتگ,لایک,فید,محتوا,پروفایل
فالوور,1,رسانه‌های اجتماعی,اینستاگرام,شخصیت آنلاین,تعداد,علاقه‌مند,محتوا,دنبال کردن,بازدید,تعامل,شخصی
لایک,2,مراسم,پسندیدن,شبکه اجتماعی,تقاضا,دوست‌داشتن,امتیاز,رای,نظرسنجی,تعامل,پشتیبانی
کانال تلگرام,2,رسانه اجتماعی,گروه,پیام رسان,اطلاعات,محتوا,عضویت,پیام,کانال,داده,اشتراک
استیکر,2,تصویر,چسباندن,پیام,ارتباط,احساسات,جذب,تزیین,مجازی,مکالمه,وب‌سایت
آنلاین,2,اینترنت,وب,شبکه,اتصال,مجازی,دیجیتال,برنامه,خدمات,مارکت,بازی
رایانه,2,کامپیوتر,فناوری,برنامه,سیستم عامل,پردازش,دیجیتال,نرم‌افزار,سخت‌افزار,اینترنت,شبکه
کامپیوتر,2,دستگاه,فناوری,برنامه,سخت‌افزار,نرم‌افزار,شبکه,صفحه‌کلید,ماوس,سیستم‌عامل,اینترنت
ماشین,2,خودرو,حرکت,چرخ,سرعت,بنزین,راننده,سفر,گاز,ترمز,جاده
GPS,1,مکان,ناوبری,تعیین,سیستم,جهت‌ یابی,دستگاه,نقشه,محل,فضا,فناوری
wifi,1,اینترنت,سیگنال,اتصال,شبکه,مسیریاب,بلوتوث,دستگاه,سرعت,کامپیوتر,بی‌سیم
اینترنت,2,شبکه,وب,داده,دانش,ارتباطات,سرعت,جستجو,کاربران,اطلاعات,کامپیوتر
اطلاعات,2,داده,خبر,شناخت,محتوا,آگاهی,تحقیق,تحلیل,ارسال,قید,سوال
حافظه داخلی,2,ذخیره‌سازی,تاریخچه,فایل‌ها,فضا,داده‌ها,رایانه,حافظه,SSD,سیستم‌عامل,انتقال
مموری,2,ذخیره,فناوری,فایل,داده,دیسک,هارد,پورتابل,کپی,معلومات,حافظه
بلوتوث,1,اتصال,سیم‌کشی,فناوری,پخش,دستگاه,بی‌سیم,گوشی,سازگاری,انتقال,موسیقی
سیستم عامل,2,نرم‌افزار,کامپیوتر,حافظه,پروسه,دستگاه,مدیریت,پردازش,کاربر,برنامه,توسعه
سخت افزار,1,کامپیوتر,تکنولوژی,سیستم,برنامه نویسی,مدار,سیلیکون,کنترل,صفحه نمایش,پروسسور,شبکه
نرم افزار,1,برنامه,کامپیوتر,کد,سیستم,توسعه,اینترنت,اجرا,نصب,پلتفرم,کارایی
اپلیکیشن,2,نرم‌افزار,موبایل,دانلود,تلفن,کاربردی,دیجیتال,اینترنت,سرویس,پلتفرم,کاربر
